TransactionID,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,C3,C4,C7,C8,C10,C12,C13,D1,D10,D15
2987000,4.22683374526818,4,9.541512875502493,5.733968873819223,0.9387254901960784,1,0.9231391585760519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.022082018927444793,0.5974025974025974,0.5897284533648169
2987001,3.367295829986474,4,7.9211727215870145,6.0014148779611505,0.9387254901960784,2,0.8907766990291263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987002,4.07753744390572,4,8.44741429680832,6.194405391104672,0.9387254901960784,4,0.9425566343042072,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.7756788665879575
2987003,3.912023005428146,4,9.80543361206074,6.340359303727752,0.9387254901960784,2,0.9029126213592233,1,0.0,0.0,0.0,0.0,0.0,0.0,0.029342723004694836,0.17665615141955834,0.639315230224321,0.6552538370720188
2987004,3.912023005428146,1,8.411165786770708,6.2422232654551655,0.9387254901960784,2,0.8907766990291263,0,0.0,0.0,0.0,0.002840909090909091,0.003289473684210526,0.0,0.0011737089201877935,0.0,0.0,0.0
2987005,3.8918202981106265,4,8.688959234270676,6.318968113746434,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987006,5.0689042022202315,4,9.418004736441933,5.886104031450156,0.9387254901960784,4,0.9425566343042072,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987007,6.046189446797229,4,9.448963494138779,6.194405391104672,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987008,2.70805020110221,1,7.938445551164788,4.605170185988092,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.002840909090909091,0.003289473684210526,0.0,0.0011737089201877935,0.0,0.0,0.0
2987009,4.762173934797756,4,9.764168012286715,4.709530201312334,0.9387254901960784,2,0.9894822006472492,1,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.09621451104100946,0.6133412042502951,0.7774498229043683
2987010,4.329245391734468,0,9.71087320625674,5.863631175598097,0.9117647058823529,2,0.9166666666666667,0,0.0,0.001841620626151013,0.020833333333333332,0.002840909090909091,0.003289473684210526,0.023809523809523808,0.002347417840375587,0.0015772870662460567,0.5897284533648169,0.5897284533648169
2987011,2.8030573046805447,0,8.403128235128264,5.926926025970411,0.9673202614379085,2,0.9894822006472492,1,0.0,0.001841620626151013,0.020833333333333332,0.002840909090909091,0.003289473684210526,0.011904761904761904,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987012,3.912023005428146,4,8.239065331769268,6.035481432524756,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.11356466876971609,0.652892561983471,0.652892561983471
2987013,3.6888794541139363,4,9.462343451970945,5.713732805509369,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0725552050473186,0.6162927981109798,0.6162927981109798
2987014,2.3513752571634776,4,9.379154445411636,6.194405391104672,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.5897284533648169,0.5897284533648169
2987015,4.059580569785761,4,8.861491864286915,6.318968113746434,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025821596244131457,0.0,0.8642266824085005,0.5897284533648169
2987016,3.4011973816621555,1,7.489970898834801,6.318968113746434,0.9387254901960784,4,0.9911003236245955,1,0.0,0.0,0.0,0.002840909090909091,0.003289473684210526,0.0,0.0011737089201877935,0.0,0.0,0.0
2987017,4.605170185988092,1,9.34940642009918,4.709530201312334,0.9387254901960784,2,0.9854368932038836,0,0.0,0.0,0.0,0.002840909090909091,0.003289473684210526,0.0,0.0011737089201877935,0.0,0.0,0.0
